Section,Column A,Column B,Column C,Column D,Column E,Column F
PowerSources,null-reactor,Null-Shell Reactor,exotic,3,0.8,1.2 | nullFragments 2 coreShards 1 circuitMesh 8 alloyPlates 6
,,,,,,
Modules,id,label,outputBonus,failureReduction,,
Modules,cooling-module,Cooling Module,0.05,0.05,,
Modules,stability-module,Stability Module,0.04,0.08,,
Modules,aria-sensor,ARIA Sensor,0.06,0.06,,
Modules,vector-drill-chip,Vector Drill Chip,0.08,0.04,,
Modules,NOTE,failureReduction not used in compute.ts yield,,,,
,,,,,,
Workers,id,label,multiplier,,,
Workers,worker,Worker,1.1,,,
Workers,operator,Operator,1.5,,,
Workers,NOTE,Starter 1 worker 0 operator; no operator craft recipe,,,,
,,,,,,
Boosts,id,label,multiplier,,,
Boosts,none,No boost,1,,,
Boosts,krex-boost,KREX Boost,1.5,,,
Boosts,kas-overclock,KAS Overclock,2,,,
Boosts,grid-efficiency,GRID Efficiency,1.2,,,
,,,,,,
Recipes,recipeId,kind,outputId,requires,,
Recipes,pulse-drill,machine,pulse-drill,alloyPlates 10 circuitMesh 5 energyCells 2,,
Recipes,crystal-extractor,machine,crystal-extractor,alloyPlates 18 circuitMesh 10 ariaChips 2 energyCells 4,,
Recipes,deep-vein-rig,machine,deep-vein-rig,alloyPlates 35 circuitMesh 16 coreShards 3 energyCells 6,,
Recipes,energy-cell,battery,energy-cell,circuitMesh 2 energyCells 1,,
Recipes,cooling-module,module,cooling-module,coolingGel 6 alloyPlates 4,,
Recipes,stability-module,module,stability-module,alloyPlates 6 circuitMesh 4,,
Recipes,aria-sensor,module,aria-sensor,ariaChips 4 circuitMesh 4,,
Recipes,vector-drill-chip,module,vector-drill-chip,circuitMesh 8 nullFragments 1,,
,,,,,,
StarterIngredients,ingredient,amount,,,,
StarterIngredients,crystalDust,200,,,,
StarterIngredients,alloyPlates,60,,,,
StarterIngredients,circuitMesh,40,,,,
StarterIngredients,energyCells,30,,,,
StarterIngredients,coreShards,10,,,,
StarterIngredients,coolingGel,25,,,,
StarterIngredients,ariaChips,15,,,,
StarterIngredients,nullFragments,5,,,,
,,,,,,
MiningCycle,Rule,Behavior,,,,
MiningCycle,StartMining,Costs 1 reserve unit; needs setup power charge > 0 no active cycle,,,,
MiningCycle,Live diamonds,Linear in time vs durationMs; capped by battery runtime and cycle end,,,,
MiningCycle,StopMining,Pause: no drain; Resume extends endAtMs,,,,
MiningCycle,ExtractionReady,now >= endAtMs if battery not empty earlier,,,,
MiningCycle,BatteryEmpty,Charge 0 before cycle end,,,,
MiningCycle,Extract,Banks accumulated + live; clears cycle; 2% needsRepair,,,,
MiningCycle,Refine mid-cycle,mintedOffset; full siphon before natural end refunds 1 reserve unit,,,,
,,,,,,
ShopUI,itemId,title,baseKas,Other prices / notes,,
ShopUI,crystalDust,Crystal Dust,0.5,KREX 0.5,,
ShopUI,alloyPlates,Alloy Plates,2,KREX 1.2,,
ShopUI,circuitMesh,Circuit Mesh,1.5,KREX 1.0 GRID 0.4,,
ShopUI,energyCells,Energy Cells,3,KREX 2.5 GRID 0.3,,
ShopUI,kas-overclock,KAS Overclock,5,KAS only,,
ShopUI,krex-boost,KREX Boost,0,KREX 25 UI disabled Soon,,
ShopUI,power-topup,Plant recharge,2.5,Per unit + full battery,,
ShopUI,repair,Stability Patch,2,KAS,,
,,,,,,
PaidKAS,Action,Amount / pattern,skuId / notes,,,
PaidKAS,Plant recharge,1.5 KAS × units,minecore:plant:recharge,,,
PaidKAS,Slot unlock,1 KAS,minecore:slot:unlock,,,
PaidKAS,Slot expand,50 KAS,minecore:slot:expand,,,
PaidKAS,Plant upgrade,50 / 250 KAS,minecore:upgrade:{slot}:{type},,,
PaidKAS,Ingredient buy,line total,minecore:ingredient:{name},,,
PaidKAS,Power top-up,,minecore:power:topup,,,
PaidKAS,Battery refill,,minecore:battery:refill,,,
PaidKAS,Repair,,minecore:repair,,,
PaidKAS,KAS discount,,KREX tier discount in useMinecore,,,
,,,,,,
NFT_Automation,Topic,Detail,,,,
NFT_Automation,Slot types,worker operator foreman engineer,,,,
NFT_Automation,foremanActive,Any foreman slot has NFT,,,,
NFT_Automation,autoRestart,Extract ExtractionReady; StartMining ReadyToMine,,,,
NFT_Automation,Foreman refill,Intended energy cell + RefillBattery; AddIngredients clamps negatives,,,,
,,,,,,
PlantStatus,status,Meaning,,,,
PlantStatus,EmptySlot,Not unlocked,,,,
PlantStatus,SetupIncomplete,Missing machine battery or worker,,,,
PlantStatus,ReadyToMine,Setup OK reserve > 0 no cycle,,,,
PlantStatus,MiningActive,Cycle running not paused battery > 0,,,,
PlantStatus,MiningPaused,Paused,,,,
PlantStatus,BatteryEmpty,Mid-cycle battery depleted,,,,
PlantStatus,ExtractionReady,Cycle window ended,,,,
PlantStatus,NeedsRepair,Repair flag set,,,,
PlantStatus,NeedsPower,powerRemaining <= 0 no cycle,,,,
,,,,,,
Redeem_Ledger,Topic,Detail,,,,
Redeem_Ledger,Refine,1:1 to points; grid ledger last 200 rows,,,,
Redeem_Ledger,RedeemGrid event,Subtracts refinement points only,,,,
Redeem_Ledger,API,GET /api/games/minecore/grid-ledger?address=,,,,
